fold,text,id,label__decision_type_relevant,label__decision_type_sentiment_nonneutral,label__relevant,label__sentiment,label__who,label__decision_type_sentiment,label__decision_type_who
train,Wow! Amazing! This is the same reason why I missed the Kahului BFC craft fair! I avoided chicken pox? http://t.co/TIxT32yrIi,544637830925156000    ,unanimous,,no,,,,
train,@TuckOnTheRise Not vaccines. Experimental serum. Two different things. This was used on Americans as well. Don't forget Ebola isn't new.,539838683352797000    ,unanimous,,yes,neutral,no,unanimous,unanimous
train,Cosmo Mom With a Twist of Lyme | Surviving Mommyhood While Beating Lyme http://t.co/XWYCgbEA9T,551847317490245000    ,unanimous,,no,,,,
dev,http://t.co/fjYoW5dINv: Don?t Go to Disneyland?s Californian Parks If You Haven?t Been Vaccinated for Measles http://t.co/qvBn2XAOAQ,558106789611573000    ,unanimous,,yes,neutral,no,unanimous,unanimous
dev,Why does everyone in the nhl keep getting the mumps?,543487932645249000    ,unanimous,,no,,,,
test,"FierceBiotech: ImmusanT banks $12M round for PhII celiac vaccine study: Cambridge, MA-based ImmusanT has raise... http://t.co/nVqh7t2YBW",547071255124246000    ,unanimous,,yes,neutral,no,unanimous,unanimous
test,Most random illness reference ever -- RT @McClain_on_NFL: The Texans are off to such a bad start you'd think they've got measles.,541661138132299000    ,unanimous,,no,,,,
train,@BoltsJolts mumps?,544659933082697000    ,unanimous,,no,,,,
train,California Whooping Cough Infections Run High Among Latino Babies,549882036962750000    ,unanimous,,no,,,,
train,#health | In this report we?ll look at many Ideas for bolster your immune system. FREE Writing:  http://t.co/ywlXZ9SxUY,540673226615959000    ,unanimous,,no,,,,
test,Wowww Crosby has the mumps,544174645558411000    ,unanimous,,no,,,,
test,@lizaa_orr it means you have a weak immune system eat more fruits,552453552204156000    ,unanimous,,no,,,,
dev,@GrantNapearshow I hope Cousins has a good neurologist to treat his symptoms from his meningitis. May help speed recovery. #sportsneurology,543232158081372000    ,unanimous,,no,,,,
dev,"Merck & Co. looks to speed FDA filings for Keytruda, hepatitis C combination therapy - FirstWord Pharma http://t.co/7qn2BIvohO via @fwpharma",554736374432014000    ,unanimous,,no,,,,
dev,Went from 100 to 0 real quick. Immune system don't fail me now!!,540005979036078000    ,unanimous,,no,,,,
train,@WHO  @UNICEF #Tetanus toxoid vaccine has been given to 130 million women in 52 countries to protect their newborns from tetanus,533478919765524000    ,unanimous,,yes,neutral,yes,majority,majority
train,I feel I'm becoming immune to the cold...I'm not proud of that at all haha,546370301668634000    ,unanimous,,no,,,,
test,Why are some people naturally immune to HIV? http://t.co/KdXyuQY4aF,537175142368296000    ,unanimous,,no,,,,
train,Already took two shots today.. Varicella and my flu shot #nursingschoolproblems,550375749757054000    ,unanimous,,yes,neutral,yes,unanimous,unanimous
train,Breaking News ??'Ebola scare impedes second round of Polio Vaccination' via @233liveOnline. Full story at http://t.co/uD0egq4Pcm,534610537317810000    ,unanimous,,yes,neutral,no,unanimous,unanimous
train,Coming back from Belton veterinary clinic with pain meds and new bandage. Dr. said pushing down his immune system... http://t.co/xwfF6f9jEv,537667606308593000    ,unanimous,,no,,,,
train,"? hey @Harry_Styles , cuddling relieves anxiety and strengthens the immune system    maybe we should cuddle or  you should FOLLOW me? x3108",549597535564996000    ,unanimous,,no,,,,
test,#993772 http://t.co/2cYJYJ5H0q #0724  Cure Hpv For Good! Most Promising New Product In The Niche! Reaches Milli... http://t.co/ffc4X1xK1X,532585748395225000    ,unanimous,,no,,,,
test,TereasaBoeckx: shannonstone7: New post (Tailor-made vaccine set to banish Africa's meningitis epidemics) has bee... http://t.co/qbVSMXjMmE,553808755646013000    ,unanimous,unanimous,yes,positive,no,unanimous,unanimous
dev,"""No one is immune to life's storms"" ~ Bernard Kelvin Clive If it's not one thing...then it's another. At times, it... http://t.co/Y5YMPJW0R5",556465472343121000    ,unanimous,,no,,,,
train,people with normal immune systems don't know what it's like to be someone with a compromised immune system and a 'normal' illness,547844743892594000    ,unanimous,,no,,,,
train,VIDEO: Ebola vaccine trial 'encouraging': A trial looking at the safety of an Ebola vaccine has had encouragin... http://t.co/3fUBDBTwZ8,537730908204183000    ,unanimous,unanimous,yes,positive,no,unanimous,unanimous
dev,"Between ourselves, I think it a great pity Henrietta did not remain at Lyme as long as Louisa;",535536888480681000    ,unanimous,,no,,,,
dev,"@HavenHerald Not really, Duke already figured that out that she isn't immune to the troubles ;) #Haven5",533522199723143000    ,unanimous,,no,,,,
test,"@M_Yuns @tariqbutt_ plus, 2100 deaths till date since PTI came to power, 68 polio cases, 72 measles deaths 29 Dangue deaths.. long list bro",556803181695336000    ,unanimous,,no,,,,
train,DecoArty Beauty : http://t.co/54rEL5L0iq #82677 Korea Ginseng gold Extract vitamin tea Immune health sex power ... http://t.co/DLEXsfqtJ1,541092879939411000    ,unanimous,,no,,,,
train,At a Rabies Babies concert listening to a song supporting @NoMorePage3 ! http://t.co/5EIc8WmFXL,536273833100320000    ,unanimous,,no,,,,
test,.@Jamie_Woodward_ @AMNH @NHM_London it's quite eerie to see the giant stumps to this day.  Wood was only good for shingles and toothpicks.,547150599267966000    ,unanimous,,no,,,,
dev,"""We like to say vaccines are miracles,"" write @BillGates + @MelindaGates. Give & we'll 2x your impact: http://t.co/YllvwT3xIW #GivingTuesday",537055995965763000    ,unanimous,unanimous,yes,positive,no,unanimous,unanimous
train,"#SevenMaryThree - Cumbersome (Video): http://t.co/vmgT9BZNL9 those stones you threw at me,i built a wall, im not immune but im protected!",549335341539139000    ,unanimous,,no,,,,
train,the immune system can suck my ass !,541754933956341000    ,unanimous,,no,,,,
dev,Just Naturally Healthy - Top 3 Shingles Natural Remedies http://t.co/7oRhQJnF2G,547760361299271000    ,unanimous,,no,,,,
test,It's only a short amount of time at the rate I'm going til Im immune to antibiotics,533343506476322000    ,unanimous,,no,,,,
dev,@stewartwong Ecolink Z-Wave PIR Moti...Immune (PIRZWAVE2-ECO) is now on sale for $27.95 at Amazon. Product page: http://t.co/1gKAJkVwdM,552452452327641000    ,unanimous,,no,,,,
dev,Angelina Jolie Announces in Video: I Have Chicken Pox! http://t.co/IfrAi9owMQ #celebrity,543566384220090000    ,unanimous,,no,,,,
train,"Exclusive: MSF should have called for Ebola vaccine earlier, says aid group veteran: DAKAR/BRUSSELS (Reuters) ... http://t.co/ei8hXBd7Uc",533146388863791000    ,unanimous,unanimous,yes,positive,no,unanimous,unanimous
train,"Sidney Crosby will sit 2 games, being tested for mumps: Pittsburgh Penguins star forward Sidney Crosby will si... http://t.co/tg439hCzQ9",543527362453729000    ,unanimous,,no,,,,
test,"@SassyAngel112 the androids with the hooded suits on are immune to EMP, most effective is use the bolt gun & aim for the head :)",557535750879969000    ,unanimous,,no,,,,
test,Some important news to share about flu season. CDC warns that the current flu vaccine may not work as the virus... http://t.co/TYsmnU2MgI,540564897206390000    ,unanimous,,yes,neutral,no,unanimous,unanimous
test,"Zydus Cadila ups vaccines game with programs for Ebola, Congo fever via Cafepharma Detail Piece ... http://t.co/Z0mxCRM4s1",553986908225691000    ,unanimous,,yes,neutral,no,unanimous,unanimous
test,Ebola vaccine 'promising in Africa': Early trials in Uganda reveal an experimental Ebola vaccine is as safe in... http://t.co/hbMHxQ3C6d,547195841262284000    ,unanimous,unanimous,yes,positive,yes,unanimous,unanimous
train,Ebola vaccine trial halted temporarily after joint pains: Geneva hospital http://t.co/J6oqReC7rl,543107380213710000    ,unanimous,,yes,,,,
dev,14 Charged in 2012 Meningitis Outbreak That Left 64 Dead: Mold and bacteria were in the air and on workers' gloved? http://t.co/bvDG8ysdHC,545481391685656000    ,unanimous,,no,,,,
test,My immune system is so shit thanks a lot body,539804661042405000    ,unanimous,,no,,,,
train,Shingles Treatments In the conventional medicine http://t.co/5T6s3Xrhhb,541676962599555000    ,unanimous,,no,,,,
train,"Science Info #JGF HPV vaccine, riskier sexual activity not linked, Canadian researchers say http://t.co/ojMunMo1zm",542108031958650000    ,unanimous,,yes,neutral,no,unanimous,unanimous
dev,Second week in a row -- NO new polio cases reported! http://t.co/668snfj8TE,557714802299392000    ,unanimous,,no,,,,
train,CQ Roll Call: Panel Backs $50 Million for Research on Costly Hepatitis Care: http://t.co/m3qYYwUGSP | @PCORI #CER #HCSM,542087619090599000    ,unanimous,,no,,,,
dev,"Gilead Sciences may be on tap for another strong year next year thanks to its hepatitis C drugs, HIV drugs, and... http://t.co/Hy1IbIsWZE",541239882111524000    ,unanimous,,no,,,,
test,Pharmax by Seroyal HLC Antibiotic Care- 14 capsules| Probiotics Immune Digestion http://t.co/KzhGdrYPuv #6312  ... http://t.co/26gKjaepj6,541132199421313000    ,unanimous,,no,,,,
train,Chicken pox keeps Jolie from 'Unbroken' promotions: Universal Pictures said Friday that Jolie is suffering fro... http://t.co/1v150AwSCa,543775711798902000    ,unanimous,,no,,,,
dev,"Jenny McCarthy, Who Still Spreads Misinformation About Vaccines, Says ?I Am Not Anti-Vaccine? http://t.co/BPP146Nwed",542722610925436000    ,unanimous,,yes,,no,,unanimous
test,When you out celebrating after you survived the cholera outbreak http://t.co/G75lOyBXye,551641955470704000    ,unanimous,,no,,,,
train,"""@WHO: Dr Kieny: #Ebola vaccine Phase 3 testing will start end of January or in February #Guinea #Liberia #SierraLeone"" @MinSaludCol @opsoms",553561976295940000    ,unanimous,,yes,neutral,no,unanimous,unanimous
dev,Old Lyme Church Celebrates Its 350 Year Heritage with Numerous Events Throughout 2015 http://t.co/fTVbmHIfyf,551962172566171000    ,unanimous,,no,,,,
train,Flu prevention: 1. Vaccinate. 2. Wash hands often. 3. Cover when sneezing or coughing. 4. Stay home when sick and contagious. @CBSNews,551628931036508000    ,unanimous,majority,yes,positive,no,majority,unanimous
dev,TOP DEALS 4 U : http://t.co/I1xurbsljg #9207 Korean Ginseng Extract vitamin tea Immune health sex power diet #d... http://t.co/8bw3eOQnMd,548493903788507000    ,unanimous,,no,,,,
dev,BEAUTY DAILY DEALS : http://t.co/yof2RnSdSO #8173 NEOSINE 50 tb Cold Flu Viral Infections Herpes Warts Immune H... http://t.co/ulOKunXymy,542028384755539000    ,unanimous,,no,,,,
train,Health #TraditionalChineseMedicine Chinese Medicine: Middle Ground in the Vaccine Debate http://t.co/AOtXK1Ea8b,538697273853493000    ,unanimous,,yes,neutral,no,unanimous,unanimous
train,?@XanaaxHadMe: real xanheadz ain't up at this time  jk bitch I'm immune to em now? real talk now,544023448314318000    ,unanimous,,no,,,,
train,Im immune to it. Just like How he's immune to being a fuckboy. Funny how that works.,545702439165632000    ,unanimous,,no,,,,
dev,Penguins Video: Sidney Crosby talks after first practice since being diagnosed with the mumps; could play Thursd... http://t.co/P45Ik2BPiF,545677842689060000    ,unanimous,,no,,,,
dev,"If you do not vaccinate your kids, you should not be allowed to use public schools. Period. Your selfishness should not put others at risk",544567079530426000    ,unanimous,unanimous,yes,positive,no,unanimous,unanimous
test,Report: Most US Measles Outbreaks This Year Since 1994 - http://t.co/BlnNC25MSJ http://t.co/ahA2bXJsuN,533665922360152000    ,unanimous,,no,,,,
dev,Would you rather get hepatitis C or get a girl pregnant  #AskNacks,543946789649674000    ,unanimous,,no,,,,
dev,P-DEALS >> http://t.co/QYcxZKZbhK #28813 GROPRINOSIN 50 tablets Cold Flu Viral Infections Herpes Immune Health ... http://t.co/vnQvQBeNys,543380996461453000    ,unanimous,,no,,,,
test,"Get the facts on Ebola - the source, how it is transmitted, how to protect your immune system. There are too many... http://t.co/oaOcfTP66G",533467783691272000    ,unanimous,,no,,,,
dev,"Two Devils have the mumps. Note to self, send stringer to Devils locker room.",543196604548001000    ,unanimous,,no,,,,
test,No serious side effects in Merck/Newlink Ebola vaccine test - LONDON (Reuters) - The first people vaccinated with ... http://t.co/bHOCPIokip,539739699066449000    ,unanimous,,yes,,,,
train,@xnujxh I hope u get rabies and die,534532674153902000    ,unanimous,,no,,,,
test,Promising new breast cancer vaccine: A new breast cancer vaccine is showing promising signs of success in the ...  http://t.co/z8tjxvkHtf,539696503036473000    ,unanimous,,yes,,no,,unanimous
dev,@texmed @dr_sheffield Good comments @ vaccines  Tetanus vaccine doesn't cause kids to jump on rusty nails #Vaccines,541319790032617000    ,unanimous,,yes,,no,,unanimous
test,All these people who didn't vaccinate their kids are now surprised there's a measles outbreak. Welp.,558103355290320000    ,unanimous,unanimous,yes,positive,no,unanimous,unanimous
train,Vitamin D Proven More Effective Than Both Anti-Viral Drugs and Vaccines At Preventing The Flu -... http://t.co/a3ju0d22GV,550849760496979000    ,unanimous,,yes,neutral,no,unanimous,unanimous
dev,"Due to the DTP Ultimate Chip?s proven reliability and excellent performance, the DTP Ultimate Chip is the most... http://t.co/bUGWr0oXdT",547226010631294000    ,unanimous,,no,,,,
train,meninism is the leading cause of meningitis,557297713294086000    ,unanimous,,no,,,,
train,Is Trying To Contain The Truth Futile?Y > 'Vaccine Dominoes Falling' #Health #Vaccines #UN #Depopulation #infowars https://t.co/eyAgvwGVZu,534681822979186000    ,unanimous,,yes,neutral,no,majority,unanimous
dev,http://t.co/XIsLZyaxTJ GROPRINOSIN 50 tablets Cold Flu Viral Infections Herpes Immune Health Treatment http://t.co/wg8DLwy0J4,545553518128807000    ,unanimous,,no,,,,
test,Or rabies if you're headed to clemson. @SonsOfClemson it's time to get their annual tetanus shots now that tailgating at WillyBrice is over,536969583001751000    ,majority,,no,,,,
test,Chicken pox day 4: LJ1 has a few new spots but both LJs mostly in the scabing phase. Cabin fever truly established and chocolate stash low.,532488418165800000    ,unanimous,,no,,,,
dev,Read her story; help Elke get treatment in Germany to beat Lyme disease http://t.co/fIadEcpGbe #fundraising @Channel7 @sundaynighton7,539523415539867000    ,unanimous,,no,,,,
train,"Drug spending tops $1 trillion on hepatitis C, cancer therapies: study: (Reuters) - Global pharma... http://t.co/1B5pHloEeN #health_news",535301755009892000    ,unanimous,,no,,,,
test,"Sorry Dr. Oz and Jenny McCarthy: More scientific proof vaccines, GMOs don?t cause autism http://t.co/aha7qkk9wy",539446015707734000    ,unanimous,,yes,,no,,unanimous
train,"My Top 3 #lastfm Artists: The Vaccines (52), Mac DeMarco (11) & Bob Marley & The Wailers (10) http://t.co/TLCueJO2dI",536586625422479000    ,unanimous,,no,,,,
train,@leviraviolis well I'm also vaccinated ofc,555419322034946000    ,unanimous,unanimous,yes,positive,yes,unanimous,unanimous
test,New treatment strategy allows lower doses of toxic tuberculosis drug without compromising potency,553347302140960000    ,unanimous,,no,,,,
train,Sad : Popular Oyo politician dies of typhoid http://t.co/RvZv7Yiqjg via @StillonstreetNG 6,537308606698631000    ,unanimous,,no,,,,
train,UK leads promising Ebola vaccine trial:   An Ebola vaccine being developed by British pharmaceutical giant Gla... http://t.co/FExoUQPIuU,553932030149292000    ,unanimous,,yes,,no,,unanimous
